342,天津富通信息科技股份有限公司,天津,天津市,20.57亿,1.37亿,847,1997-09-29,--,通信传输设备,光通信网络产品、石英管材制品,从事以光纤光缆制造为核心的光通信业务和以石英管材产品为辅助的石英制品业务。
343,秦川机床工具集团股份公司,陕西,宝鸡市,30.00亿,3807.33万,9959,1998-09-28,--,机床设备,机床及零部件、融资租赁及商业保理、进出口贸易,研发、生产和销售齿轮磨床、螺纹磨床、外圆磨床（曲轴磨、球面磨、车轴磨）、滚齿机、车齿机、通用数控车床及加工中心、龙门式车铣镗复合加工中心、精密高效拉床、塑料机械（中空机）等高端数控装备；数控复杂刀具、高档数控系统、滚动功能部件、汽车零部件、特种齿轮箱、机器人关节减速器、螺杆转子副、精密齿轮、精密仪器仪表、精密铸件等零部件产品；提供智能制造及自动化生产线、智能机床等智能制造及核心数控技术、装备等系统集成业务。
344,财信地产发展集团股份有限公司,重庆,重庆市,18.03亿,2.12亿,579,1997-06-26,--,房地产开发,房地产、环保板块,房地产开发和环保。
345,中信国安信息产业股份有限公司,北京,北京市,43.62亿,3.02亿,22670,1997-10-31,--,电池,有线电视业务、增值电信业务、网络系统集成及应用软件开发业务、房地产业务,信息网络基础设施业务中的有线电视网、卫星通信网的投资建设，以及基于有线电视投资所积累用户资源而开展的增值服务等创新业务。
346,河北承德露露股份有限公司,河北,承德市,21.12亿,4.18亿,1070,1997-11-13,--,植物蛋白饮料,植物蛋白饮料,饮料（蛋白饮料类）的开发、生产；马口铁包装罐生产与销售。
347,安徽华茂纺织股份有限公司,安徽,安庆市,23.43亿,8271.41万,4762,1998-10-07,--,棉纺,纺织,各类混纺纱线、织物、面料、产业用布及服装的生产与销售；投资管理。
348,大唐高鸿数据网络技术股份有限公司,贵州,安顺市,89.76亿,1.87亿,1173,1998-06-09,--,信息服务,通信设备产品、计算机涉密及系统集成、信息服务业务、IT销售业务,企业信息化业务、信息服务业务、IT销售业务。
349,中石化石油机械股份有限公司,湖北,武汉市,39.94亿,3468.67万,5212,1998-11-26,--,矿山冶金机械,石油机械设备、钻头及钻具、油气钢管,油气开采机械设备、钻头钻具、井下工具、压缩机以及油气钢管产品的设计、研发、制造、销售、租赁和一体化服务。
350,唐山冀东装备工程股份有限公司,河北,唐山市,17.65亿,1421.23万,1699,1998-08-13,--,其他专用机械,机械设备及备件、土建安装、维修工程、电气设备及备件、其他业务,水泥装备制造及维修业务。
351,宜宾五粮液股份有限公司,四川,宜宾市,301.87亿,100.86亿,25882,1998-04-27,--,白酒,制造,白酒生产和销售。
352,安徽国风新材料股份有限公司,安徽,合肥市,11.73亿,4247.69万,1151,1998-11-19,--,塑料制品,塑料薄膜、工程塑料、新型木塑建材,生产经营双向拉伸聚丙烯薄膜和双向拉伸聚酯薄膜等包装膜材料、预涂膜材料、电容器用薄膜、聚酰亚胺薄膜、高分子功能膜材料和电子信息用膜材料，以及木塑新材料、工程塑料等。
353,北京顺鑫农业股份有限公司,北京,北京市,117.34亿,4.42亿,4842,1998-11-04,--,白酒,白酒、猪肉,白酒酿造与销售;种猪繁育、生猪养殖、屠宰及肉制品加工;房地产开发。
354,广东海印集团股份有限公司,广东,广州市,25.61亿,2.95亿,1126,1998-10-28,--,物业租赁、物业管理,商业板块、百货业、酒店业、房产、金融板块,商业运营、文化娱乐及互联网金融
355,宁夏银星能源股份有限公司,宁夏,银川市,9.80亿,-1.88亿,594,1998-09-15,--,新能源发电,新能源发电、风机设备制造、光伏设备制造、提供劳务,新能源发电、新能源装备工程业务
356,三湘印象股份有限公司,上海,上海市,24.74亿,2.25亿,500,1997-09-25,--,房地产开发,房地产销售、房屋租赁、建筑施工、文化演艺,房地产开发与经营。
357,安徽安凯汽车股份有限公司,安徽,合肥市,54.49亿,-2.77亿,2381,1997-07-25,--,乘用车,整车,生产全系列客车和汽车零部件。
358,烟台张裕葡萄酿酒股份有限公司,山东,烟台市,49.33亿,10.34亿,2560,2000-10-26,--,葡萄酒,葡萄酒、白兰地,生产经营葡萄酒和白兰地。
359,吉林电力股份有限公司,吉林,长春市,51.02亿,-2.95亿,4653,2002-09-26,--,火电,电力、热力,从事火电、风电、太阳能发电、供热、工业供气的生产和销售。
360,新希望六和股份有限公司,四川,成都市,625.67亿,29.32亿,95993,1998-03-11,--,饲料,饲料、生猪、禽、食品、商贸,饲料、白羽肉禽、猪养殖、食品。
861,浙江双箭橡胶股份有限公司,浙江,嘉兴市,11.38亿,1.04亿,1648,2010-04-02,--,其他橡胶制品,橡胶输送带,橡胶输送带的研发、生产和销售。
862,蓝帆医疗股份有限公司,山东,淄博市,15.76亿,2.02亿,6177,2010-04-02,--,塑料制品,健康防护产品、心脑血管产品,健康防护手套的生产和销售。
863,北京合众思壮科技股份有限公司,北京,北京市,22.88亿,2.44亿,2581,2010-04-02,--,卫星应用,卫星导航系统技术开发及设备,高精度卫星导航技术为基础进行相关产品的研发、制造和销售。
864,苏州东山精密制造股份有限公司,江苏,苏州市,153.90亿,5.30亿,21014,2010-04-09,--,通信终端设备,电子电路产品、触控面板及液晶显示模组、LED显示器件、精密组件产品,电子电路、光电显示和精密制造。
865,北京大北农科技集团股份有限公司,北京,北京市,187.42亿,13.18亿,19414,2010-04-09,--,饲料,饲料动保、种子植保,饲料科技产业和养猪科技产业。
866,宜宾天原集团股份有限公司,四川,宜宾市,152.86亿,6333.90万,4187,2010-04-09,--,氯碱,聚氯乙烯、氯碱类产品、水泥、供应链服务 、聚苯乙烯、高分子新材料,氯碱化工、化工新材料、新能源电池材料。
867,维信诺科技股份有限公司,江苏,苏州市,3172.75万,1533.03万,5745,2010-04-13,--,植物蛋白饮料,OLED产品、IT服务,AMOLED新型显示产品的研发、生产、销售和技术服务。
868,新亚电子制程(广东)股份有限公司,广东,深圳市,8.06亿,4976.13万,780,2010-04-13,--,电子零部件,制程产品、建筑装饰新材、产业配套服务、租赁,电子制程方案服务、电子制程产品服务、产业配套服务。
869,航天彩虹无人机股份有限公司,浙江,台州市,14.47亿,1.96亿,2054,2010-04-13,--,电子元件,航空航天产品、电子元器件制品,无人机业务和新材料业务。
870,贵州信邦制药股份有限公司,贵州,贵阳市,60.02亿,3.31亿,5778,2010-04-16,--,中药生产,药品、医疗器械、医疗服务,医疗服务、医药流通和医药工业。
